id;id-name;name;visible;type;capacity;image;description;location;add-street;zipcode;city;country;url;features
1;;Hartmannfabrik;true;stage;0;;1;50.838, 12.918;;;;;;
2;;Stadtwirtschaft;true;stage;0;;2;50.838, 12.918;;;;;;
3;;Stadthalle;true;stage;0;;3;;;;;;;
4;;Club Stage;true;stage;0;;4;;;;;;;
5;;Schlossteichstraße;true;stage;0;;5;;;;;;;
6;;Konkordiapark Wiese;true;stage;0;;6;;;;;;;
7;;Konkordiapark Basketballfeld groß;true;stage;0;;7;;;;;;;
8;;die fabrik;true;stage;0;;8;;;;;;;
9;;Lokomov;true;stage;0;;9;;;;;;;
10;;Garagen-Campus;true;stage;0;;10;;;;;;;
11;;Ehemaliges Puppentheater;true;stage;0;;11;;;;;;;
12;;Trailer-Bühne;true;stage;0;;12;;;;;;;
13;;Stumpf Brückenstraße;true;stage;0;;13;;;;;;;
14;;Erich-Schmidt-Straße;true;stage;0;;14;;;;;;;
15;;Wall Of Femme;true;stage;0;;15;;;;;;;
16;;Spielplatz Promenadenstraße;true;stage;0;;16;;;;;;;
17;;Bergstraße;true;stage;0;;17;;;;;;;
18;;HÖR Stage;true;stage;0;;18;;;;;;;
19;;Oase am Brunnen;true;stage;0;;19;;;;;;;
20;;enter Popticum;true;stage;0;;20;;;;;;;
21;;enter fabmobil;true;stage;0;;21;;;;;;;
22;;DUB Soundsystem;true;stage;0;;22;;;;;;;
23;;Promenadenstraße;true;stage;0;;23;;;;;;;
24;;Future Area Schlossteichinsel;true;stage;0;;24;;;;;;;
25;;enter Ringodrom;true;stage;0;;25;;;;;;;
26;;Jazz & Blues Times;true;stage;0;;26;;;;;;;
27;;AOK – Kundenhalle;true;stage;0;;27;;;;;;;
28;;Experimental Stage;true;stage;0;;28;;;;;;;
29;;genNow Space – Markt der Möglichkeiten;true;stage;0;;29;;;;;;;
30;;Zwergstadt;true;stage;0;;30;;;;;;;
31;;Biergarten Miramar;true;stage;0;;31;;;;;;;
32;;Schlossteichinsel;true;stage;0;;32;;;;;;;
33;;Konkordiapark Basketballfeld klein;true;stage;0;;33;;;;;;;
34;;genNow Space – Bühne;true;stage;0;;34;;;;;;;
35;;Gondelstation;true;stage;0;;35;;;;;;;
36;;Bühne an der Hundewiese;true;stage;0;;36;;;;;;;
37;;Schillingsche Figuren;true;stage;0;;37;;;;;;;
38;;Falkeplatz;true;stage;0;;38;;;;;;;
39;;Spielplatz Schlossteichinsel;true;stage;0;;39;;;;;;;
40;;Bühne am Schloss;true;stage;0;;40;;;;;;;
41;;genNow Space – großes Zelt;true;stage;0;;41;;;;;;;
42;;Milchhäuschen;true;stage;0;;42;;;;;;;
43;;Treppe Schlossteichstraße;true;stage;0;;43;;;;;;;
44;;genNow Space – kleines Zelt;true;stage;0;;44;;;;;;;
45;;KOSMOS Bühne;true;stage;0;;45;;;;;;;
46;;Konkordiapark Fußballfeld;true;stage;0;;46;;;;;;;
47;;Pavillon auf der Schlossteichinsel;true;stage;0;;47;;;;;;;
48;;Bandbüro;true;stage;0;;48;;;;;;;
49;;Wiese am Schloss;true;stage;0;;49;;;;;;;
50;;NoNation Club;true;stage;0;;49;;;;;;;
